quarter,region,powertrain,units_sold,revenue_usd
2022Q1,North America,BEV,182000,9100000000
2022Q1,North America,PHEV,76000,3040000000
2022Q1,Europe,BEV,254000,12700000000
2022Q1,Europe,PHEV,168000,6720000000
2022Q1,APAC,BEV,498000,17430000000
2022Q1,APAC,PHEV,102000,3570000000
2022Q2,North America,BEV,205000,10250000000
2022Q2,North America,PHEV,82000,3280000000
2022Q2,Europe,BEV,289000,14450000000
2022Q2,Europe,PHEV,175000,7000000000
2022Q2,APAC,BEV,612000,21420000000
2022Q2,APAC,PHEV,118000,4130000000
2022Q3,North America,BEV,232000,11600000000
2022Q3,North America,PHEV,89000,3560000000
2022Q3,Europe,BEV,318000,15900000000
2022Q3,Europe,PHEV,184000,7360000000
2022Q3,APAC,BEV,705000,24675000000
2022Q3,APAC,PHEV,131000,4585000000
2022Q4,North America,BEV,278000,13900000000
2022Q4,North America,PHEV,98000,3920000000
2022Q4,Europe,BEV,372000,18600000000
2022Q4,Europe,PHEV,201000,8040000000
2022Q4,APAC,BEV,818000,28630000000
2022Q4,APAC,PHEV,148000,5180000000
2023Q1,North America,BEV,304000,15200000000
2023Q1,North America,PHEV,107000,4280000000
2023Q1,Europe,BEV,401000,20050000000
2023Q1,Europe,PHEV,213000,8520000000
2023Q1,APAC,BEV,892000,31220000000
2023Q1,APAC,PHEV,162000,5670000000
2023Q2,North America,BEV,341000,17050000000
2023Q2,North America,PHEV,118000,4720000000
2023Q2,Europe,BEV,452000,22600000000
2023Q2,Europe,PHEV,229000,9160000000
2023Q2,APAC,BEV,978000,34230000000
2023Q2,APAC,PHEV,178000,6230000000
2023Q3,North America,BEV,388000,19400000000
2023Q3,North America,PHEV,131000,5240000000
2023Q3,Europe,BEV,510000,25500000000
2023Q3,Europe,PHEV,247000,9880000000
2023Q3,APAC,BEV,1064000,37240000000
2023Q3,APAC,PHEV,195000,6825000000
2023Q4,North America,BEV,442000,22100000000
2023Q4,North America,PHEV,146000,5840000000
2023Q4,Europe,BEV,571000,28550000000
2023Q4,Europe,PHEV,265000,10600000000
2023Q4,APAC,BEV,1158000,40530000000
2023Q4,APAC,PHEV,213000,7455000000
2024Q1,North America,BEV,484000,24200000000
2024Q1,North America,PHEV,158000,6320000000
2024Q1,Europe,BEV,623000,31150000000
2024Q1,Europe,PHEV,283000,11320000000
2024Q1,APAC,BEV,1247000,43645000000
2024Q1,APAC,PHEV,231000,8085000000
2024Q2,North America,BEV,531000,26550000000
2024Q2,North America,PHEV,171000,6840000000
2024Q2,Europe,BEV,679000,33950000000
2024Q2,Europe,PHEV,302000,12080000000
2024Q2,APAC,BEV,1336000,46760000000
2024Q2,APAC,PHEV,250000,8750000000
